epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,334.451,1.33651,1.03754,0.00618,0.77993,0.85438,0.87076,0.5515,1.31033,0.87581,0.00594,0.000406,0.000406,0.000406
122,337.085,1.37905,0.97683,0.00588,0.79988,0.87311,0.89441,0.56708,1.29429,0.83053,0.00594,0.00040105,0.00040105,0.00040105
123,339.66,1.3704,0.99315,0.00584,0.80998,0.84803,0.89178,0.57396,1.27694,0.78384,0.00578,0.0003961,0.0003961,0.0003961
124,342.363,1.33146,0.98454,0.0056,0.79291,0.8619,0.89957,0.5859,1.2486,0.71834,0.00571,0.00039115,0.00039115,0.00039115
125,345.075,1.29901,0.96923,0.00486,0.79015,0.88195,0.89264,0.55981,1.28674,0.76443,0.00593,0.0003862,0.0003862,0.0003862
126,347.715,1.33064,0.97845,0.0052,0.75424,0.87087,0.88094,0.55621,1.29153,0.8411,0.00585,0.00038125,0.00038125,0.00038125
127,350.355,1.35262,1.05795,0.00591,0.85174,0.76933,0.87026,0.56625,1.23515,0.80973,0.00567,0.0003763,0.0003763,0.0003763
128,352.946,1.37445,0.98994,0.00581,0.77278,0.82828,0.86911,0.54263,1.32176,0.81487,0.00607,0.00037135,0.00037135,0.00037135
129,355.492,1.29761,0.92364,0.00516,0.80167,0.89056,0.87647,0.55363,1.3063,0.8708,0.00594,0.0003664,0.0003664,0.0003664
130,358.147,1.29159,0.98682,0.0054,0.78202,0.87928,0.88681,0.58072,1.24516,0.77796,0.00579,0.00036145,0.00036145,0.00036145
131,360.735,1.27561,0.95043,0.00489,0.7928,0.8398,0.88121,0.56355,1.29941,0.78728,0.00592,0.0003565,0.0003565,0.0003565
132,363.353,1.32585,1.00574,0.00532,0.79047,0.80999,0.86261,0.56043,1.23029,0.81712,0.0056,0.00035155,0.00035155,0.00035155
133,366.022,1.32368,0.93373,0.00543,0.85002,0.80739,0.87881,0.58431,1.21683,0.7742,0.00558,0.0003466,0.0003466,0.0003466
134,368.672,1.27457,0.90171,0.00501,0.82908,0.83253,0.9011,0.59339,1.24345,0.76241,0.00563,0.00034165,0.00034165,0.00034165
135,371.363,1.31657,0.94195,0.00544,0.86284,0.77952,0.89552,0.57415,1.30313,0.78251,0.00598,0.0003367,0.0003367,0.0003367
136,374.182,1.31039,0.9693,0.00514,0.78032,0.87878,0.8875,0.58886,1.17886,0.77906,0.00533,0.00033175,0.00033175,0.00033175
137,376.857,1.25634,0.86828,0.00548,0.78587,0.88963,0.89176,0.58539,1.22588,0.80702,0.00562,0.0003268,0.0003268,0.0003268
138,380.214,1.31566,0.93991,0.00547,0.82154,0.83958,0.88658,0.57375,1.26884,0.79933,0.0059,0.00032185,0.00032185,0.00032185
139,382.899,1.29089,0.92888,0.00506,0.89182,0.82991,0.90132,0.58404,1.25022,0.75664,0.00583,0.0003169,0.0003169,0.0003169
140,385.564,1.30485,0.89579,0.00554,0.86089,0.85946,0.90223,0.58485,1.26637,0.77094,0.00597,0.00031195,0.00031195,0.00031195
141,388.189,1.27012,0.93975,0.00527,0.89414,0.80778,0.89652,0.58954,1.23598,0.77692,0.00565,0.000307,0.000307,0.000307
142,390.887,1.36081,0.94169,0.00563,0.82948,0.79497,0.88277,0.57056,1.24685,0.81043,0.00555,0.00030205,0.00030205,0.00030205
143,393.494,1.27804,0.89853,0.00528,0.81298,0.83606,0.88326,0.59021,1.22102,0.77423,0.00558,0.0002971,0.0002971,0.0002971
144,396.175,1.33705,0.91396,0.00537,0.83178,0.84679,0.89722,0.59958,1.23131,0.70707,0.00575,0.00029215,0.00029215,0.00029215
145,398.795,1.31546,0.94742,0.00524,0.83138,0.89509,0.89897,0.58861,1.21032,0.74389,0.00554,0.0002872,0.0002872,0.0002872
146,401.478,1.25707,0.87928,0.00512,0.86143,0.83901,0.90079,0.59921,1.21013,0.75856,0.00549,0.00028225,0.00028225,0.00028225
147,404.143,1.27167,0.92325,0.00543,0.87573,0.84145,0.90393,0.59634,1.20295,0.75474,0.00541,0.0002773,0.0002773,0.0002773
148,406.808,1.28241,0.89024,0.005,0.81516,0.85524,0.90566,0.60202,1.20741,0.7018,0.00544,0.00027235,0.00027235,0.00027235
149,409.449,1.26822,0.90572,0.00513,0.82433,0.84668,0.90436,0.59258,1.20744,0.72765,0.00539,0.0002674,0.0002674,0.0002674
150,412.132,1.30909,0.91096,0.00523,0.80239,0.89558,0.90212,0.5942,1.20283,0.74758,0.00537,0.00026245,0.00026245,0.00026245
151,414.755,1.26051,0.85667,0.00496,0.82303,0.84539,0.90825,0.60079,1.22753,0.72012,0.00557,0.0002575,0.0002575,0.0002575
152,417.479,1.32081,0.88752,0.00518,0.82166,0.86806,0.9035,0.58486,1.277,0.71689,0.00594,0.00025255,0.00025255,0.00025255
153,420.136,1.2609,0.89994,0.00545,0.82944,0.86592,0.9006,0.59041,1.20713,0.72331,0.00553,0.0002476,0.0002476,0.0002476
